model,file,bleu,chrf2,comet,cometkiwi,comet_n_splits,comet_sample_ratio,comet_sample_size,comet_baseline_mean,comet_system_mean,comet_delta_mean,comet_delta_std,comet_delta_ci_low,comet_delta_ci_high,comet_delta_median,comet_wins,comet_losses,comet_ties,comet_paired_ttest_statistic,comet_paired_ttest_pvalue,comet_bootstrap_pvalue_two_sided,comet_bootstrap_prob_system_ge_baseline,comet_bootstrap_prob_system_le_baseline,comet_significant_95_ci,cometkiwi_n_splits,cometkiwi_sample_ratio,cometkiwi_sample_size,cometkiwi_baseline_mean,cometkiwi_system_mean,cometkiwi_delta_mean,cometkiwi_delta_std,cometkiwi_delta_ci_low,cometkiwi_delta_ci_high,cometkiwi_delta_median,cometkiwi_wins,cometkiwi_losses,cometkiwi_ties,cometkiwi_paired_ttest_statistic,cometkiwi_paired_ttest_pvalue,cometkiwi_bootstrap_pvalue_two_sided,cometkiwi_bootstrap_prob_system_ge_baseline,cometkiwi_bootstrap_prob_system_le_baseline,cometkiwi_significant_95_ci,bleu_n_splits,bleu_sample_ratio,bleu_sample_size,bleu_baseline_mean,bleu_system_mean,bleu_delta_mean,bleu_delta_std,bleu_delta_ci_low,bleu_delta_ci_high,bleu_delta_median,bleu_wins,bleu_losses,bleu_ties,bleu_paired_ttest_statistic,bleu_paired_ttest_pvalue,bleu_bootstrap_pvalue_two_sided,bleu_bootstrap_prob_system_ge_baseline,bleu_bootstrap_prob_system_le_baseline,bleu_significant_95_ci
google/gemma-2-9b-it,test.fr.rocsmt.out.postproc,43.86705697520098,61.37323038879645,80.29063241975801,75.47846346364825,300.0,0.4,311.0,78.92660806084497,80.30329669147953,1.3766886306345656,0.366008882585752,0.7417376876069073,2.133380826742319,1.3796389055022062,300.0,0.0,0.0,65.14854605756268,1.0322053561644673e-178,0.0,1.0,0.0,True,300.0,0.4,311.0,75.19073236962862,75.48503315333768,0.2943007837090591,0.25779466626781483,-0.17284838860058244,0.7711492176991213,0.2818901007965058,259.0,41.0,0.0,19.773252777924906,3.109048129408259e-56,0.2733333333333333,0.8633333333333333,0.13666666666666666,False,300.0,0.4,311.0,42.752903597973095,43.82556864392829,1.0726650459551919,0.845957667105287,-0.36405113091712327,2.975318134303159,1.010622610166891,270.0,30.0,0.0,21.96221432042844,2.517351775482871e-64,0.2,0.9,0.1,False
Unbabel/TowerInstruct-7B-v0.2,test.fr.mmtc.out.postproc,45.69034216834185,61.198287137573146,79.02635778162623,74.12837478338214,300.0,0.4,311.0,79.03447281761696,79.0243996609829,-0.010073156634072229,0.2938451543390217,-0.5888802680363636,0.5665695858921579,-0.038092006057788286,135.0,165.0,0.0,-0.5937555486344007,0.5531245422570144,0.9,0.45,0.55,False,300.0,0.4,311.0,74.38760815639077,74.1664302769134,-0.2211778794773652,0.36264587465865616,-0.8427827869964202,0.5183682813521712,-0.25241791339549735,83.0,217.0,0.0,-10.563785542183004,2.241670343728388e-22,0.5533333333333333,0.27666666666666667,0.7233333333333334,False,300.0,0.4,311.0,45.538738885496656,45.56926446352217,0.030525578025497994,0.42325299304368247,-0.7463756678634523,0.8035946780572324,0.07533016288590488,165.0,135.0,0.0,1.2491784568458764,0.2125768518044939,0.9,0.55,0.45,False
Unbabel/TowerInstruct-7B-v0.2,test.fr.pfsmb.out.postproc,45.8035120683846,61.0923839618908,79.04328433089582,74.20611339723128,300.0,0.4,311.0,79.03447281761696,79.04569294659015,0.01122012897319698,0.3108367637839656,-0.5677440700231967,0.627868826653795,-0.012088823356809497,145.0,155.0,0.0,0.6252102618903689,0.5323099288321412,0.9666666666666667,0.48333333333333334,0.5166666666666667,False,300.0,0.4,311.0,74.38760815639077,74.23088171340262,-0.15672644298815153,0.32691988294982066,-0.7863895875368895,0.46860786639991825,-0.18301434647232107,99.0,201.0,0.0,-8.303507259810559,3.5404075946068293e-15,0.66,0.33,0.67,False,300.0,0.4,311.0,45.538738885496656,45.71248157773858,0.1737426922419191,0.4188019835972858,-0.6824418434589739,0.957852518428416,0.1656277701280473,202.0,98.0,0.0,7.185523999241087,5.3616711302637436e-12,0.6533333333333333,0.6733333333333333,0.32666666666666666,False
Unbabel/TowerInstruct-7B-v0.2,test.fr.footweets.out.postproc,46.09044163619438,61.43951187477823,79.31781857246905,74.29891711956745,300.0,0.4,311.0,79.03447281761696,79.31212013905582,0.2776473214388658,0.2896171122518023,-0.27503063752528534,0.8288249035644414,0.27599018965503985,253.0,47.0,0.0,16.604656526628652,2.4912585778462355e-44,0.31333333333333335,0.8433333333333334,0.15666666666666668,False,300.0,0.4,311.0,74.38760815639077,74.33814317703502,-0.0494649793557419,0.30939231987259447,-0.5737194660871368,0.6377105637666126,-0.07701234418863168,129.0,171.0,0.0,-2.769165617128806,0.00597120555410964,0.86,0.43,0.57,False,300.0,0.4,311.0,45.538738885496656,45.97826994331396,0.4395310578172977,0.4388006584768226,-0.4197968263540499,1.3120614499104686,0.43142008929252995,257.0,43.0,0.0,17.349338678904118,3.902934956790774e-47,0.2866666666666667,0.8566666666666667,0.14333333333333334,False
Unbabel/TowerInstruct-7B-v0.2,test.fr.default.out.postproc,45.58762669528654,61.06929823185585,79.05335896954114,74.36879613991717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unbabel/TowerInstruct-7B-v0.2,test.fr.rocsmt.out.postproc,46.01199552585084,61.327016640998686,79.18211056382192,74.2315927028963,300.0,0.4,311.0,79.03447281761696,79.1789889979273,0.14451618031034616,0.29054619198710074,-0.4131688795672351,0.7125002646465406,0.13637348674118144,210.0,90.0,0.0,8.615131559680446,4.10047680032155e-16,0.6,0.7,0.3,False,300.0,0.4,311.0,74.38760815639077,74.27548020781045,-0.11212794858031978,0.3156223986300879,-0.6463855878716507,0.5321866673959441,-0.1555159400513706,100.0,200.0,0.0,-6.15328014527897,2.433483421723308e-09,0.6666666666666666,0.3333333333333333,0.6666666666666666,False,300.0,0.4,311.0,45.538738885496656,45.89185530333746,0.3531164178407953,0.447483267636996,-0.5921365221752654,1.179411151870409,0.37770017021341573,237.0,63.0,0.0,13.667898241574672,2.2641721253909378e-33,0.42,0.79,0.21,False
Qwen/Qwen2.5-7B-Instruct,test.fr.mmtc.out.postproc,44.35778775126433,60.183460486769434,78.62798733830913,72.57978445928222,300.0,0.4,311.0,78.69007429662625,78.60345062338783,-0.08662367323842741,0.34262133182416993,-0.722480992939308,0.5280301456378567,-0.09394995269285111,118.0,182.0,0.0,-4.379079445765453,1.650200632097352e-05,0.7866666666666666,0.3933333333333333,0.6066666666666667,False,300.0,0.4,311.0,73.78092710177103,72.58250628244073,-1.1984208193303174,0.38156611042153327,-1.9161919322332042,-0.48723294492511515,-1.1922204130332126,0.0,300.0,0.0,-54.40016005706807,4.014500751707805e-157,0.0,0.0,1.0,True,300.0,0.4,311.0,41.82110216330325,44.26094273992149,2.439840576618238,0.7262548074875044,1.0105630821432723,3.8655247417157272,2.411103277125612,300.0,0.0,0.0,58.18794997985116,4.123732645845677e-165,0.0,1.0,0.0,True
Qwen/Qwen2.5-7B-Instruct,test.fr.pfsmb.out.postproc,44.59761687938599,60.096066536797174,78.32972587996008,72.377712719689,300.0,0.4,311.0,78.69007429662625,78.30050762443297,-0.3895666721932762,0.35867175622437353,-1.0894118726157684,0.35414869474828076,-0.40357296873135273,39.0,261.0,0.0,-18.812445013155223,1.2245399966429244e-52,0.26,0.13,0.87,False,300.0,0.4,311.0,73.78092710177103,72.37738644361241,-1.4035406581586323,0.373435368214236,-2.0890548075414537,-0.7209376252924107,-1.4163002803011415,0.0,300.0,0.0,-65.09837946106838,1.28006114948278e-178,0.0,0.0,1.0,True,300.0,0.4,311.0,41.82110216330325,44.493082991140206,2.6719808278369497,0.7494956208215626,1.1732793021815442,4.187718516071929,2.6756941367598905,300.0,0.0,0.0,61.74828007121027,3.120990124169872e-172,0.0,1.0,0.0,True
Qwen/Qwen2.5-7B-Instruct,test.fr.footweets.out.postproc,43.8623699429718,59.65563666039968,78.36322673576065,72.5255809196941,300.0,0.4,311.0,78.69007429662625,78.3364787981441,-0.353595498482131,0.3630040929821903,-1.0592831735921446,0.31790451604836667,-0.35119714556782755,47.0,253.0,0.0,-16.871583007983947,2.461329627468961e-45,0.31333333333333335,0.15666666666666668,0.8433333333333334,False,300.0,0.4,311.0,73.78092710177103,72.53644772964786,-1.2444793721231742,0.35815682528148907,-1.9084508269067046,-0.5648788630099926,-1.2342457171421684,0.0,300.0,0.0,-60.18317533931296,3.8073212588452454e-169,0.0,0.0,1.0,True,300.0,0.4,311.0,41.82110216330325,43.743313366714304,1.9222112034110503,0.7619593269105815,0.37229359617578767,3.4190208551141374,1.9219971045080122,300.0,0.0,0.0,43.69481873376642,7.466487028005268e-132,0.0,1.0,0.0,True
Qwen/Qwen2.5-7B-Instruct,test.fr.default.out.postproc,41.913421952673495,58.94612546321508,78.66726557567159,73.75111358966606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen2.5-7B-Instruct,test.fr.rocsmt.out.postproc,43.722831672418565,59.576087004655854,78.71799251901291,73.35405696082759,300.0,0.4,311.0,78.69007429662625,78.68671562041118,-0.003358676215077091,0.35425744701862116,-0.6422287798292009,0.6788625793345873,-0.03128174416888729,137.0,163.0,0.0,-0.16421384785683474,0.8696737516230416,0.9133333333333333,0.45666666666666667,0.5433333333333333,False,300.0,0.4,311.0,73.78092710177103,73.35503499169953,-0.42589211007150896,0.34621810514996454,-1.085861232790533,0.22739085066357154,-0.4183061588615422,29.0,271.0,0.0,-21.30641818593079,6.4241758262079e-62,0.19333333333333333,0.09666666666666666,0.9033333333333333,False,300.0,0.4,311.0,41.82110216330325,43.611663208396024,1.7905610450927698,0.7025798842847941,0.49789324303804855,3.169283436169924,1.8011658629717502,298.0,2.0,0.0,44.142207505860796,5.336550584034642e-133,0.013333333333333334,0.9933333333333333,0.006666666666666667,True
ibm-granite/granite-4.1-8b,test.fr.mmtc.out.postproc,40.91029635950846,59.08630374755609,78.33972060849153,74.27775927338668,300.0,0.4,311.0,77.97018566791523,78.33044541952184,0.36025975160660134,0.30084997906850164,-0.1998934247965245,1.05029719675085,0.33733729285059244,268.0,32.0,0.0,20.740842184426374,7.873322235002356e-60,0.21333333333333335,0.8933333333333333,0.10666666666666667,False,300.0,0.4,311.0,74.1314299086474,74.28072816650968,0.14929825786225698,0.26418564838562686,-0.32732417537468583,0.6995651787116965,0.14908078015808957,217.0,83.0,0.0,9.788274634869133,8.309970109153728e-20,0.5533333333333333,0.7233333333333334,0.27666666666666667,False,300.0,0.4,311.0,39.81823998661878,40.83328234941574,1.015042362796957,0.6078827512159011,-0.12342805481258788,2.2066781605332775,0.991564612471052,288.0,12.0,0.0,28.921777113801777,1.2408431403626654e-88,0.08,0.96,0.04,False
ibm-granite/granite-4.1-8b,test.fr.pfsmb.out.postproc,41.826372335145216,59.51129690180769,78.3167466540441,74.03693288909882,300.0,0.4,311.0,77.97018566791523,78.30858685962639,0.33840119171117045,0.2851547293802694,-0.23294683797374563,0.9689550952225201,0.3364436112799518,270.0,30.0,0.0,20.554737375720304,3.8520458396039463e-59,0.2,0.9,0.1,False,300.0,0.4,311.0,74.1314299086474,74.04203391273177,-0.08939599591563874,0.2927785822454984,-0.6923848864924903,0.48838441323045806,-0.08905439898131973,112.0,188.0,0.0,-5.288583807311159,2.384982616383182e-07,0.7466666666666667,0.37333333333333335,0.6266666666666667,False,300.0,0.4,311.0,39.81823998661878,41.7431933814953,1.9249533948765187,0.6419007552067545,0.7403840499406755,3.315630181114005,1.9099444738258065,299.0,1.0,0.0,51.94131733112569,1.088268705007229e-151,0.006666666666666667,0.9966666666666667,0.0033333333333333335,True
ibm-granite/granite-4.1-8b,test.fr.footweets.out.postproc,40.54034198269879,58.83208859234536,78.34898542943608,74.2925243986773,300.0,0.4,311.0,77.97018566791523,78.34883910855169,0.378653440636454,0.3069261814015654,-0.19155107414607794,0.9929244114846651,0.3650032199464026,271.0,29.0,0.0,21.36823240846404,3.8041622493341643e-62,0.19333333333333333,0.9033333333333333,0.09666666666666666,False,300.0,0.4,311.0,74.1314299086474,74.30201134845885,0.17058143981144522,0.27423086434780397,-0.3721853333654082,0.7402928348427004,0.17115555679683148,220.0,80.0,0.0,10.773977658727441,4.356591976635769e-23,0.5333333333333333,0.7333333333333333,0.26666666666666666,False,300.0,0.4,311.0,39.81823998661878,40.467053728810704,0.6488137421919186,0.7262540963728364,-0.9764484410193472,2.0497114961893996,0.6647091055849579,247.0,53.0,0.0,15.47362516422055,4.431803101091998e-40,0.35333333333333333,0.8233333333333334,0.17666666666666667,False
ibm-granite/granite-4.1-8b,test.fr.default.out.postproc,39.889151744862225,58.074206462589906,77.94992227581938,74.11486626131655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ibm-granite/granite-4.1-8b,test.fr.rocsmt.out.postproc,39.047110832536625,58.53256360136122,78.18299208215151,74.63508828266247,300.0,0.4,311.0,77.97018566791523,78.18416650195597,0.21398083404073912,0.33944739924957695,-0.4512116519009543,0.9192453377499764,0.24219986135170513,220.0,80.0,0.0,10.91850098789602,1.401327506817907e-23,0.5333333333333333,0.7333333333333333,0.26666666666666666,False,300.0,0.4,311.0,74.1314299086474,74.63176921447628,0.5003393058288778,0.29795947619449686,-0.1046795129680125,1.0668636774614346,0.497975955055463,288.0,12.0,0.0,29.08493160840659,3.582305518006193e-89,0.08,0.96,0.04,False,300.0,0.4,311.0,39.81823998661878,39.05260352357801,-0.7656364630407789,1.4308809719318643,-4.3312241915595475,1.1439422562767498,-0.31352158531164065,108.0,192.0,0.0,-9.267865602570241,3.88150699192387e-18,0.72,0.36,0.64,False
