model,file,bleu,chrf2,comet,cometkiwi,comet_n_splits,comet_sample_ratio,comet_sample_size,comet_baseline_mean,comet_system_mean,comet_delta_mean,comet_delta_std,comet_delta_ci_low,comet_delta_ci_high,comet_delta_median,comet_wins,comet_losses,comet_ties,comet_paired_ttest_statistic,comet_paired_ttest_pvalue,comet_bootstrap_pvalue_two_sided,comet_bootstrap_prob_system_ge_baseline,comet_bootstrap_prob_system_le_baseline,comet_significant_95_ci,cometkiwi_n_splits,cometkiwi_sample_ratio,cometkiwi_sample_size,cometkiwi_baseline_mean,cometkiwi_system_mean,cometkiwi_delta_mean,cometkiwi_delta_std,cometkiwi_delta_ci_low,cometkiwi_delta_ci_high,cometkiwi_delta_median,cometkiwi_wins,cometkiwi_losses,cometkiwi_ties,cometkiwi_paired_ttest_statistic,cometkiwi_paired_ttest_pvalue,cometkiwi_bootstrap_pvalue_two_sided,cometkiwi_bootstrap_prob_system_ge_baseline,cometkiwi_bootstrap_prob_system_le_baseline,cometkiwi_significant_95_ci,bleu_n_splits,bleu_sample_ratio,bleu_sample_size,bleu_baseline_mean,bleu_system_mean,bleu_delta_mean,bleu_delta_std,bleu_delta_ci_low,bleu_delta_ci_high,bleu_delta_median,bleu_wins,bleu_losses,bleu_ties,bleu_paired_ttest_statistic,bleu_paired_ttest_pvalue,bleu_bootstrap_pvalue_two_sided,bleu_bootstrap_prob_system_ge_baseline,bleu_bootstrap_prob_system_le_baseline,bleu_significant_95_ci
mistralai/Mistral-7B-Instruct-v0.3,test.fr-en.fr.default.out.postproc,42.513662993802946,59.129162307149485,78.45579884499313,77.17337078899145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen2.5-7B-Instruct,test.fr-en.fr.footweets.out.postproc,56.41986699527196,71.34776819319819,88.20325838029385,79.91640814542771,300.0,0.4,800.0,87.11337319150567,88.2169445340832,1.1035713425775373,0.30166744257539063,0.5443849082104871,1.728787792380901,1.09822812117637,300.0,0.0,0.0,63.3625431635235,2.4006284644180707e-175,0.0,1.0,0.0,True,300.0,0.4,800.0,80.39474961984904,79.92011680416763,-0.4746328156813977,0.2075883884330839,-0.8977819967083633,-0.09341349648311865,-0.47244125977158324,3.0,297.0,0.0,-39.60183697676593,5.854680730128288e-121,0.02,0.01,0.99,True,300.0,0.4,800.0,55.51704764185162,56.453397301197256,0.9363496593456356,0.7179852751706934,-0.3710908633534009,2.3484745528224025,0.9223559414630138,271.0,29.0,0.0,22.58827917119727,1.3155479790419555e-66,0.19333333333333333,0.9033333333333333,0.09666666666666666,False
Qwen/Qwen2.5-7B-Instruct,test.fr-en.fr.rocsmt.out.postproc,56.359481819540804,71.36786761698124,88.39464152753354,80.38983768969774,300.0,0.4,800.0,87.11337319150567,88.40777633673201,1.2944031452263403,0.277354028116317,0.7841055078431938,1.8711907758377455,1.2838021069765115,300.0,0.0,0.0,80.83430510224056,3.2364564300684004e-205,0.0,1.0,0.0,True,300.0,0.4,800.0,80.39474961984904,80.39310796260834,-0.0016416572406886172,0.181661437408486,-0.3464287961833154,0.36480373116210063,-0.01072349026799424,144.0,156.0,0.0,-0.15652379448546563,0.8757257971165587,0.96,0.48,0.52,False,300.0,0.4,800.0,55.51704764185162,56.40533097077881,0.8882833289271985,0.6718236921801124,-0.2932078836025854,2.336564205460252,0.8675510433324902,274.0,26.0,0.0,22.901125326878873,9.66170189549205e-68,0.17333333333333334,0.9133333333333333,0.08666666666666667,False
Qwen/Qwen2.5-7B-Instruct,test.fr-en.fr.mmtc.out.postproc,56.96106528118269,71.75355597738545,88.4169255003333,80.04602435082198,300.0,0.4,800.0,87.11337319150567,88.43031453243148,1.316941340925793,0.2893653522016877,0.777853371109811,1.9252245921641604,1.301859185099602,300.0,0.0,0.0,78.82800396508756,4.2452370285388085e-202,0.0,1.0,0.0,True,300.0,0.4,800.0,80.39474961984904,80.04966318683077,-0.34508643301824715,0.20267942828163252,-0.7723264841362848,0.052375044766810756,-0.33718161098659216,14.0,286.0,0.0,-29.490276347127654,1.6594482540977929e-90,0.09333333333333334,0.04666666666666667,0.9533333333333334,False,300.0,0.4,800.0,55.51704764185162,57.00767271383882,1.490625071987201,0.690754871223854,0.21173895369780527,2.969190512606631,1.464530165348421,298.0,2.0,0.0,37.37705613488388,1.041185532213214e-114,0.013333333333333334,0.9933333333333333,0.006666666666666667,True
Qwen/Qwen2.5-7B-Instruct,test.fr-en.fr.pfsmb.out.postproc,57.10382846344608,71.66518622548769,88.17529650330543,80.00564657449722,300.0,0.4,800.0,87.11337319150567,88.18807263921947,1.0746994477137923,0.28849448389377297,0.5724369267001705,1.6328736429102726,1.0560277085751302,300.0,0.0,0.0,64.52234445466563,1.530865840679527e-177,0.0,1.0,0.0,True,300.0,0.4,800.0,80.39474961984904,80.01052573451153,-0.3842238853375119,0.20091150062037438,-0.7700898116454524,0.01183879841118962,-0.40536352433264145,9.0,291.0,0.0,-33.12380271070463,4.5655043129156665e-102,0.06,0.03,0.97,False,300.0,0.4,800.0,55.51704764185162,57.14619272960212,1.629145087750497,0.6536839395515963,0.44240272556123145,2.941986390844962,1.5962860344213468,300.0,0.0,0.0,43.167070416641174,1.7212818459318022e-130,0.0,1.0,0.0,True
Qwen/Qwen2.5-7B-Instruct,test.fr-en.fr.default.out.postproc,55.472563530328,70.21884072971706,87.0970290645957,80.38742120414972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unbabel/TowerInstruct-7B-v0.2,test.fr-en.fr.footweets.out.postproc,60.08229761443528,73.45378420288917,88.9209145128727,80.88299957513809,300.0,0.4,800.0,88.93782631095497,88.91925553577641,-0.018570775178571274,0.10248254525893719,-0.2321494048461395,0.18314370783045975,-0.011445410549637547,133.0,167.0,0.0,-3.1386345903054527,0.0018668286424752963,0.8866666666666667,0.44333333333333336,0.5566666666666666,False,300.0,0.4,800.0,81.04244125078122,80.88155529744922,-0.16088595333198719,0.11207430466437653,-0.378957761079074,0.04179433528334045,-0.1602056268602603,27.0,273.0,0.0,-24.864097638584916,9.365391113836487e-75,0.18,0.09,0.91,False,300.0,0.4,800.0,59.751144946658435,60.054432115825534,0.30328716916708753,0.44067969762141396,-0.5093453532531228,1.2128847799112479,0.27675739442353375,215.0,85.0,0.0,11.92042177383046,4.589926095083906e-27,0.5666666666666667,0.7166666666666667,0.2833333333333333,False
Unbabel/TowerInstruct-7B-v0.2,test.fr-en.fr.rocsmt.out.postproc,59.99821223382474,73.39147492380425,88.87001768052578,80.93364860117435,300.0,0.4,800.0,88.93782631095497,88.86693644240499,-0.07088986855000283,0.11131187115763234,-0.29143059924245096,0.13727267831563575,-0.07226200774312352,72.0,228.0,0.0,-11.030706140641941,5.7838641769041494e-24,0.48,0.24,0.76,False,300.0,0.4,800.0,81.04244125078122,80.93394726956885,-0.10849398121237767,0.11233972542791411,-0.3246155376546106,0.10476654134689749,-0.11252687871455835,53.0,247.0,0.0,-16.72757228660342,8.581586723333046e-45,0.35333333333333333,0.17666666666666667,0.8233333333333334,False,300.0,0.4,800.0,59.751144946658435,59.98005815871277,0.228913212054325,0.46234686356569293,-0.6311572296588951,1.116629157423798,0.2291172107347954,199.0,101.0,0.0,8.575581344795772,5.404702964369094e-16,0.6733333333333333,0.6633333333333333,0.33666666666666667,False
Unbabel/TowerInstruct-7B-v0.2,test.fr-en.fr.mmtc.out.postproc,60.184743601985666,73.54349166972669,88.93772005587817,80.94230995178224,300.0,0.4,800.0,88.93782631095497,88.93429289203138,-0.0035334189236168414,0.10636235286876142,-0.22210297351703268,0.18628320349380995,-0.004580922424790579,140.0,160.0,0.0,-0.5753973031868836,0.565455386236635,0.9333333333333333,0.4666666666666667,0.5333333333333333,False,300.0,0.4,800.0,81.04244125078122,80.93901837180057,-0.10342287898063658,0.11175718554068037,-0.3014054067432903,0.11894800160080199,-0.10588839091360547,48.0,252.0,0.0,-16.028828946690325,3.654227412825637e-42,0.32,0.16,0.84,False,300.0,0.4,800.0,59.751144946658435,60.15386256295278,0.40271761629433656,0.44925279788475414,-0.4241019799279289,1.2646108791459931,0.39235812892044564,238.0,62.0,0.0,15.52638905776507,2.810818650018748e-40,0.41333333333333333,0.7933333333333333,0.20666666666666667,False
Unbabel/TowerInstruct-7B-v0.2,test.fr-en.fr.pfsmb.out.postproc,59.84680399149648,73.28037430435391,88.85974216610192,80.92008515447378,300.0,0.4,800.0,88.93782631095497,88.8579996160542,-0.0798266949007912,0.11612390249583714,-0.31958733061328404,0.12667768299579255,-0.07542757876217165,68.0,232.0,0.0,-11.906583261221893,5.136811474606566e-27,0.4533333333333333,0.22666666666666666,0.7733333333333333,False,300.0,0.4,800.0,81.04244125078122,80.92124755428483,-0.12119369649638702,0.11434795376195292,-0.3431381451897311,0.08696678793058103,-0.12481174618005353,46.0,254.0,0.0,-18.357446109251608,6.263471281663008e-51,0.30666666666666664,0.15333333333333332,0.8466666666666667,False,300.0,0.4,800.0,59.751144946658435,59.81041166727024,0.059266720611790356,0.4428710688419987,-0.7483847094276674,0.8465816323978919,0.018672097552670408,155.0,145.0,0.0,2.3178974315487197,0.021129670903221338,0.9666666666666667,0.5166666666666667,0.48333333333333334,False
Unbabel/TowerInstruct-7B-v0.2,test.fr-en.fr.default.out.postproc,59.781906253925,73.36807478136791,88.94373089969159,81.04234959483146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
